Station_ID,Date_Time,PCode,Result
CT,2021-01-01,Data 1,13.993428306022466
CT,2021-01-01,Data 2,13.723471397657631
CT,2021-01-01,Data 3,14.531693250553328
CT,2021-01-01,Data 4,15.531726086101639
CT,2021-01-01,Data 5,
CT,2021-01-01,Data 6,19.534869458305817
CT,2021-01-01,Data 7,11.061051228130095
CT,2021-01-01,Data 8,14.08512008717193
CT,2021-01-01,Data 9,14.48392454313207
CT,2021-01-01,Data 10,11.173439510684403
CT,2021-01-01,Data 11,13.974337759331153
CT,2021-01-01,Data 12,17.628494665190548
CT,2021-01-02,Data 1,15.931297537843108
CT,2021-01-02,Data 2,13.548447399026928
CT,2021-01-02,Data 3,13.911234550949635
CT,2021-01-02,Data 4,16.22184517941973
CT,2021-01-02,Data 5,15.79872262016239
CT,2021-01-02,Data 6,17.416612500413446
CT,2021-01-02,Data 7,
CT,2021-01-02,Data 8,10.8845781420882
CT,2021-01-02,Data 9,15.645089824206378
CT,2021-01-02,Data 10,12.558312700057956
CT,2021-01-02,Data 11,13.343627902203139
CT,2021-01-02,Data 12,17.393722471738247
CT,2021-01-03,Data 1,14.476933159990821
CT,2021-01-03,Data 2,14.34273656237994
CT,2021-01-03,Data 3,14.76870343522352
CT,2021-01-03,Data 4,15.397792608821423
CT,2021-01-03,Data 5,16.078722458080424
CT,2021-01-03,Data 6,20.11424445243783
CT,2021-01-03,Data 7,12.648167938789591
CT,2021-01-03,Data 8,12.229835439167367
CT,2021-01-03,Data 9,
CT,2021-01-03,Data 10,16.223352577681737
CT,2021-01-03,Data 11,18.0619990449919
CT,2021-01-03,Data 12,18.862560238232398
CT,2021-01-04,Data 1,11.321564953554724
CT,2021-01-04,Data 2,13.38157524829757
CT,2021-01-04,Data 3,14.04165152430942
CT,2021-01-04,Data 4,15.628682046672365
CT,2021-01-04,Data 5,18.625051644788396
CT,2021-01-04,Data 6,20.712480057141647
CT,2021-01-04,Data 7,12.723272050095268
CT,2021-01-04,Data 8,11.709760490789751
CT,2021-01-04,Data 9,13.928347921780096
CT,2021-01-04,Data 10,18.129287311628012
CT,2021-01-04,Data 11,16.17409413647634
CT,2021-01-04,Data 12,16.401985299068265
CT,2021-01-05,Data 1,12.560656224324976
CT,2021-01-05,Data 2,14.714225143023492
CT,2021-01-05,Data 3,13.383012794213625
CT,2021-01-05,Data 4,14.996485912830927
CT,2021-01-05,Data 5,18.83080423540415
CT,2021-01-05,Data 6,18.65750221931937
CT,2021-01-05,Data 7,12.194155098696081
CT,2021-01-05,Data 8,14.937289981065778
CT,2021-01-05,Data 9,12.595893812245295
CT,2021-01-05,Data 10,14.344675706804464
CT,2021-01-05,Data 11,
CT,2021-01-05,Data 12,17.52211054435978
CT,2021-01-06,Data 1,10.169258515899172
CT,2021-01-06,Data 2,13.158709354469282
CT,2021-01-06,Data 3,14.677428576667982
CT,2021-01-06,Data 4,16.80810171362908
CT,2021-01-06,Data 5,17.51510078144553
CT,2021-01-06,Data 6,17.851108168467665
CT,2021-01-06,Data 7,8.162457569401917
CT,2021-01-06,Data 8,
CT,2021-01-06,Data 9,14.120460419882052
CT,2021-01-06,Data 10,19.926484224970572
CT,2021-01-06,Data 11,15.615278070437755
CT,2021-01-06,Data 12,17.603094684667226
CT,2021-01-07,Data 1,15.285645629030041
CT,2021-01-07,Data 2,15.503866065373549
CT,2021-01-07,Data 3,17.805588621872197
CT,2021-01-07,Data 4,13.196297874415439
CT,2021-01-07,Data 5,
