Station_ID,Date_Time,PCode,Result
TUS,2021-01-20,Data 1,0.1168
TUS,2021-01-25,Data 1,0.0534
TUS,2021-01-26,Data 1,0.1057
TUS,2021-01-27,Data 1,0.1128
TUS,2021-01-28,Data 1,0.1188
TUS,2021-01-29,Data 1,0.1229
TUS,2021-01-30,Data 1,0.1208
TUS,2021-01-31,Data 1,0.1289
TUS,2021-02-01,Data 1,0.142
TUS,2021-02-02,Data 1,0.1138
TUS,2021-02-03,Data 1,0.0222
TUS,2021-02-04,Data 1,0.0
TUS,2021-02-05,Data 1,0.0
TUS,2021-02-06,Data 1,0.0
TUS,2021-02-07,Data 1,0.0
TUS,2021-02-08,Data 1,0.0624
TUS,2021-02-09,Data 1,0.0685
TUS,2021-02-10,Data 1,0.1047
TUS,2021-02-11,Data 1,0.1017
TUS,2021-02-12,Data 1,0.1098
TUS,2021-02-13,Data 1,0.138
TUS,2021-02-14,Data 1,0.1561
TUS,2021-02-15,Data 1,0.1631
TUS,2021-02-16,Data 1,0.1541
TUS,2021-02-17,Data 1,0.144
TUS,2021-02-18,Data 1,0.1611
TUS,2021-02-19,Data 1,0.138
TUS,2021-02-20,Data 1,0.1541
TUS,2021-02-21,Data 1,0.1581
TUS,2021-02-22,Data 1,0.1601
TUS,2021-02-23,Data 1,0.14
TUS,2021-02-24,Data 1,0.148
TUS,2021-02-25,Data 1,0.1581
TUS,2021-02-26,Data 1,0.1581
TUS,2021-02-27,Data 1,0.1561
TUS,2021-02-28,Data 1,0.1621
TUS,2021-03-01,Data 1,0.1581
TUS,2021-03-02,Data 1,0.1903
TUS,2021-03-03,Data 1,0.1913
TUS,2021-03-04,Data 1,0.1853
TUS,2021-03-05,Data 1,0.1924
TUS,2021-03-06,Data 1,0.1883
TUS,2021-03-07,Data 1,0.1863
TUS,2021-03-08,Data 1,0.1853
TUS,2021-03-09,Data 1,0.1964
TUS,2021-03-10,Data 1,0.1893
TUS,2021-03-11,Data 1,0.1742
TUS,2021-03-12,Data 1,0.1944
TUS,2021-03-13,Data 1,0.1863
TUS,2021-03-14,Data 1,0.1762
TUS,2021-03-15,Data 1,0.1903
TUS,2021-03-16,Data 1,0.1913
TUS,2021-03-17,Data 1,0.1551
TUS,2021-03-18,Data 1,0.136
TUS,2021-03-19,Data 1,0.148
TUS,2021-03-20,Data 1,0.1551
TUS,2021-03-21,Data 1,0.1591
TUS,2021-03-22,Data 1,0.1682
TUS,2021-03-23,Data 1,0.1692
TUS,2021-03-24,Data 1,0.1652
TUS,2021-03-25,Data 1,0.1601
TUS,2021-03-26,Data 1,0.1551
TUS,2021-03-27,Data 1,0.1531
TUS,2021-03-28,Data 1,0.1593
TUS,2021-03-29,Data 1,0.1611
TUS,2021-03-30,Data 1,0.1611
TUS,2021-03-31,Data 1,0.1621
TUS,2021-01-20,Data 2,0.0
TUS,2021-01-25,Data 2,0.0
TUS,2021-01-26,Data 2,176.0
TUS,2021-01-27,Data 2,0.0
TUS,2021-01-28,Data 2,0.0
TUS,2021-01-29,Data 2,0.0
TUS,2021-01-30,Data 2,0.0
TUS,2021-01-31,Data 2,0.0
TUS,2021-02-01,Data 2,0.0
TUS,2021-02-02,Data 2,654.0
TUS,2021-02-03,Data 2,0.0
TUS,2021-02-04,Data 2,0.0
TUS,2021-02-05,Data 2,0.0
TUS,2021-02-06,Data 2,0.0
TUS,2021-02-07,Data 2,0.0
TUS,2021-02-08,Data 2,0.0
TUS,2021-02-09,Data 2,0.0
TUS,2021-02-10,Data 2,0.0
TUS,2021-02-11,Data 2,0.0
TUS,2021-02-12,Data 2,0.0
TUS,2021-02-13,Data 2,0.0
TUS,2021-02-14,Data 2,0.0
TUS,2021-02-15,Data 2,0.0
TUS,2021-02-16,Data 2,0.0
TUS,2021-02-17,Data 2,0.0
TUS,2021-02-18,Data 2,0.0
TUS,2021-02-19,Data 2,0.0
TUS,2021-02-20,Data 2,0.0
TUS,2021-02-21,Data 2,0.0
TUS,2021-02-22,Data 2,0.0
TUS,2021-02-23,Data 2,0.0
TUS,2021-02-24,Data 2,0.0
TUS,2021-02-25,Data 2,0.0
TUS,2021-02-26,Data 2,0.0
TUS,2021-02-27,Data 2,0.0
TUS,2021-02-28,Data 2,0.0
TUS,2021-03-01,Data 2,0.0
TUS,2021-03-02,Data 2,144.0
TUS,2021-03-03,Data 2,0.0
TUS,2021-03-04,Data 2,0.0
TUS,2021-03-05,Data 2,0.0
TUS,2021-03-06,Data 2,0.0
TUS,2021-03-07,Data 2,0.0
TUS,2021-03-08,Data 2,0.0
